Food code,Food,Category,Type,Calories (kcal/100g),Protein (g),Carbohydrate (g),Fat (g),Fiber (g),Sugars (g),Vitamin A (mcg),Vitamin B-6 (mg),Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg)
11513804,"Chocolate milk, made from light syrup with fat free milk",Milk,Beverage,49,3.18,8.61,0.19,0.0,8.0,56,0.052000000000000005,0.51,0.0,1.0,0.0
11513805,"Chocolate milk, made from light syrup with non-dairy milk",Milk substitutes,Beverage,51,1.48,8.78,1.17,0.2,7.27,62,0.015,0.37,0.0,0.9,1.23
11513851,"Chocolate milk, made from sugar free syrup with whole milk",Milk,Beverage,58,3.23,5.87,3.05,0.4,4.24,28,0.056,0.47,0.0,1.0,0.05
11513852,"Chocolate milk, made from sugar free syrup with reduced fat milk",Milk,Beverage,49,3.29,6.08,1.92,0.4,4.31,73,0.056,0.48,0.2,1.0,0.03
11513853,"Chocolate milk, made from sugar free syrup with low fat milk",Milk,Beverage,43,3.32,6.32,1.08,0.4,4.37,51,0.055,0.53,0.0,1.0,0.02
11513854,"Chocolate milk, made from sugar free syrup with fat free milk",Milk,Beverage,35,3.36,6.06,0.32,0.4,4.45,56,0.053,0.51,0.0,1.0,0.0
11513855,"Chocolate milk, made from sugar free syrup with non-dairy milk",Milk substitutes,Beverage,37,1.66,6.22,1.31,0.5,3.72,62,0.016,0.37,0.0,0.9,1.23
11519105,"Strawberry milk, reduced fat",Milk,Beverage,71,3.15,10.71,1.8,0.0,10.46,78,0.057,0.52,0.2,1.0,0.03
11519200,"Strawberry milk, low fat",Milk,Beverage,69,3.13,12.3,0.89,0.0,11.82,54,0.056,0.56,0.0,1.0,0.02
11519205,"Strawberry milk, fat free",Milk,Beverage,61,3.18,12.03,0.09,0.0,11.9,59,0.054000000000000006,0.54,0.0,1.0,0.0
11519210,"Strawberry milk, reduced sugar",Milk,Beverage,50,3.31,7.08,0.94,0.0,6.86,57,0.059,0.6,0.0,1.1,0.02
11519215,"Strawberry milk, non-dairy",Milk substitutes,Beverage,63,1.39,12.2,1.13,0.2,11.12,65,0.014,0.39,0.0,1.0,1.3
11551050,Licuado or Batido,Smoothies drinks,Beverage,71,2.4,13.1,1.38,0.7,10.86,38,0.109,0.35,9.9,0.7,0.08
11553110,"Fruit smoothie, with whole fruit and dairy",Smoothies drinks,Beverage,63,2.4,11.66,1.07,1.2,8.23,20,0.092,0.28,9.0,0.6,0.16
11553120,"Fruit smoothie, with whole fruit and dairy, added protein",Smoothies drinks,Beverage,77,7.38,9.71,1.21,1.1,7.14,22,0.085,0.46,8.4,0.7,0.16
